id	nome
1	BANCO DO BRASIL SA
29	DISTRIBUIDORA BRASILIA DE VEICULOS S/A
33	CINE FOTO GB LTDA
90	LOPES GAMA COMERCIO LOCACAO E SERVICOS LTDA - EPP
96	M F - CONSTRUCOES, INCORPORADORA, COMERCIO E REPRESENTACOES LTD - ME
202	HOSPITAL SANTA LUCIA S/A
235	ELEVADORES ATLAS SCHINDLER LTDA.
236	ELEVADORES ATLAS SCHINDLER LTDA.
239	ELEVADORES ATLAS SCHINDLER LTDA.
241	ELEVADORES ATLAS SCHINDLER LTDA.
242	ELEVADORES ATLAS SCHINDLER LTDA.
253	ELEVADORES ATLAS SCHINDLER LTDA.
254	ELEVADORES ATLAS SCHINDLER LTDA.
258	ELEVADORES ATLAS SCHINDLER LTDA.
265	ELEVADORES ATLAS SCHINDLER LTDA.
268	ELEVADORES ATLAS SCHINDLER LTDA.
275	GE HEALTHCARE DO BRASIL COMERCIO E SERVICOS PARA EQUIPAMENTOS MEDICO-HOSPITALARE
277	GE HEALTHCARE DO BRASIL COMERCIO E SERVICOS PARA EQUIPAMENTOS MEDICO-HOSPITALARE
318	FUNDACAO UNIVERSIDADE DE BRASILIA
389	HOSPITAL SANTA HELENA S/A
421	IMOBILIARIA PEDRA LTDA - ME
448	HDS SISTEMAS DE ENERGIA LTDA
469	RTS SERVICOS E MANUTENCOES LTDA - ME
475	STARTWARE INFORMATICA LTDA - ME
556	PABEVENCA CONSTRUTORA E ADMINISTRACAO DE IMOVEIS LTDA -
564	COMPANHIA ENERGETICA DE BRASILIA
578	MANUTEST ENGENHARIA LTDA
586	TRANSPORTES GERAIS BOTAFOGO LTDA
664	PAMPULHA ENGENHARIA LTDA
692	IBEROAMERICANA CONSULTORIA E SERVICOS LTDA
709	LUPPA-ADMINISTRADORA DE SERVICOS E REPRESENTACOES COMERCIAIS LTDA
721	COMPANHIA DE SANEAMENTO AMBIENTAL DO DISTRITO FEDERAL
741	CEC ENGENHARIA E CONSULTORIA S/S
745	LOURO JUSTO PARMA
764	FRANCISCO SILVEIRA FILHO HANGAR ME
795	APECE SERVICOS GERAIS LTDA
808	AUTO POSTO TALISMA LTDA - ME
875	FUNDACAO DE APOIO CEFET RJ-FUNCEFET
876	CORPORE ACADEMIA LTDA - EPP
927	KYOCERA SOLAR DO BRASIL LTDA
938	FARIA & SOARES LTDA - EPP
982	A F T CLINICA DE FISIOTERAPIA LTDA
1006	UNIMED LITORAL SUL/RS - COOPERATIVA MEDICA LTDA
1025	WEISSHEIMER & CIA LTDA
1054	NET SERVICOS DE COMUNICACAO S/A
1057	NET SERVICOS DE COMUNICACAO S/A
1103	COMERCIAL EQIP LTDA.
1120	CONSELHO CULTURAL THOMAS JEFFERSON
1146	PROFORTE S/A TRANSPORTE DE VALORES
1180	JF COPIADORA LTDA - EPP
1217	AGENCIA MODERNA TECNOLOGIA LTDA - EPP
1237	MASTER INSPECT SERVICOS TECNICOS EIRELI - EPP
1266	BONTEMPO REFRIGERACAO LTDA - EPP
1282	TRANS SERVI-TRANSPORTES E SERVICOS LTDA - ME
1283	ORTOPEDIA CONTINENTAL LTDA - ME
1313	SILVEIRA EMPREENDIMENTOS E PARTICIPACOES LTDA
1494	GOCIL SERVICOS GERAIS LTDA
1496	AQUINPEL SUPRIMENTOS PARA ESCRITORIO INFORMATICA E PAPELARIA EIRELI
1526	ALAMO - SEGURANCA ELETRONICA LTDA - EPP
1538	SELETIVA TECNOLOGIA DE SERVICOS LTDA.ME.
1594	WATERS TECHNOLOGIES DO BRASIL LTDA.
1623	COMERCIAL DE LIVROS PAPEIS E BRINQUEDOS LTDA
1625	TAMANDARE INFORMATICA LTDA
1656	CLINICA ORTOPEDICA DE PALMAS LTDA
1712	MICROINDEX COMERCIO E SERVICOS LTDA - EPP
1727	CONSTRUTORA FERREIRA LTDA
1810	ANA LUCIA DANTAS DA SILVA ME
1848	NOVO HORIZONTE JACAREPAGUA IMPORTACAO E EXPORTACAO LTDA
1881	COMERCIO DE AGUA ANALIA FRANCO LTDA - ME
1882	SYSTEMA 2/90 COMUNICACAO VISUAL LTDA - ME
1916	Z N C MAGAZINE, COMERCIO E IMPORTACAO LTDA - EPP
1963	DOMINGOS TASINAZZO - ME
1978	DEC VIDROS COMERCIO E ASSISTENCIA TECNICA LTDA - ME
1987	C.B.S. LIMPEZA E CONSERVACAO LTDA - ME
2009	DELTA COMERCIO DE EQUIPAMENTOS EIRELI
2078	YERGATA MONTAGENS E OBRAS LTDA
2102	INSTITUTO QUALISA DE GESTAO LTDA
2119	PERFIL - GRAFICA E EDITORA LTDA - ME
2120	ABT COMERCIAL ELETRICA LTDA
2128	FERMA LTDA - ME
2228	AFERITEC COMPROVACOES METROLOGICAS E COMERCIO LTDA
2238	NUTRIAGUA COMERCIO DE AGUAS E BEBIDAS LTDA - ME
2243	CENTRO DE MEDICINA NUCLEAR DE PERNAMBUCO LTDA - EPP
2364	MULTICON ENGENHARIA LTDA
2411	ROJAS & ROJAS COMERCIO DE APARELHOS NAUTICOS LTDA
2476	CMF INFORMATICA LTDA - EPP
2522	J.MENESES CONSTRUCOES LTDA
2617	MARCIA DE FATIMA BRAGANTE ORTOPEDIA - ME
2645	ELYON ENGENHARIA E COMERCIO LTDA - EPP
2666	IMED - IMAGENS MEDICAS DIAGNOSTICAS LTDA
2673	AC INFORMATICA E PRESTACAO DE SERVICOS LTDA - EPP
2691	FUN DE AMP A PESQ DE REC VIVOS NA ZONA ECONOM EXCLUSIVA
2762	GOIASFORTE VIGILANCIA E SEGURANCA LTDA
2862	H.M.S. TRANSPORTES E LOCACAO DE CACAMBAS LTDA
2887	SIA SERVICO DE INFORMACOES ADVOCATICIAS LTDA
2942	FRANCA CONSTRUCOES, MANUTENCAO E SERVICOS LTDA - EPP
2970	SAO MIGUEL AR CONDICIONADO LTDA - EPP
2980	COMISSARIA AEREA BRASILIA LTDA
2984	FUNDACAO DE SAUDE ITAIGUAPY
2996	VALDIR MACIEL DE SOUZA & CIA LTDA - ME
3026	CONNECTCOM TELEINFORMATICA COMERCIO E SERVICOS LTDA
3085	A M SOLUCOES DIGITAIS LTDA - EPP
3092	ADAPT COMERCIO DE MOVEIS E EQUIPAMENTOS LTDA - ME
3146	ANTONIO VENANCIO DA SILVA EMPREENDIMENTOS IMOBILIARIOS LTDA
3258	DIRETORIA NACIONAL DO INSTITUTO DE ARQUITETOS DO BRASIL
3272	AIR LIQUIDE BRASIL LTDA
3276	AIR LIQUIDE BRASIL LTDA
3279	AIR LIQUIDE BRASIL LTDA
3289	AIR LIQUIDE BRASIL LTDA
3291	AIR LIQUIDE BRASIL LTDA
3292	UNIAO BRASILIENSE DE EDUCACAO E CULTURA
3295	SECURITY SEGURANCA LTDA
3297	SECURITY SEGURANCA LTDA
3299	SECURITY SEGURANCA LTDA
3329	INFRASOLO ENGENHARIA DE SOLOS E INFRA ESTRUTURAS LTDA - EPP
3332	CONSTRUTORA NS LTDA - ME
3337	FIANCA SERVICOS GERAIS LTDA
3400	PRINTER OFFICE INFORMATICA LTDA - ME
3427	MULTIPRINT COMERCIO DE MATERIAIS E EQUIPAMENTOS REPROGRAFICOS, VIAGENS E TURISMO
3435	LEMGRUBER DIGITAL EIRELI - EPP
3444	BELIZARIO & SILVA LTDA - ME
3450	MULIER LABORATORIO CLINICO LTDA
3470	EMPRESA BRASILEIRA DE PESQUISA AGROPECUARIA
3488	F. MARIANO LIMA DE BARROS -ME-
3513	PERKINELMER DO BRASIL LTDA.
3523	REFLOP - REFRIGERACAO E CAMARAS FRIGORIFICAS LTDA
3529	EMPRESA BRASILEIRA DE INFRA-ESTRUTURA AEROPORTUARIA
3530	EMPRESA BRASILEIRA DE INFRA-ESTRUTURA AEROPORTUARIA
3531	EMPRESA BRASILEIRA DE INFRAESTRUTURA AEROPORTUARIA - INFRAERO
3577	CONSTRUTORA ZAG LTDA
3611	CAIXA ECONOMICA FEDERAL
3623	REMINS REPARACAO MANUTENCAO E INSTALACAO LTDA - EPP
3641	ALTAIR SILVA CONSERTOS -ME
3681	INSTITUTO EUVALDO LODI DO DISTRITO FEDERAL
3692	ASSOCIACAO DE AMIGOS DO M D A M D RIO DE JANEIRO ASSMAM
3693	MARDEN DIVISORIAS E CONSTRUCOES EIRELI
3699	UNIMED MARQUES DE VALENCA COOP.DE TRABALHO MEDICO LTDA
3716	SIVONEIDE ALENCAR CUNHA EIRELI
3772	DIAG-LUX PRODUTOS PARA LABORATORIOS LTDA
3778	INSTITUTO MORRO DA CUTIA DE AGROECOLOGIA (IMCA)
3810	IDEXX BRASIL LABORATORIOS LTDA.
3853	HOSPITAL LAGO SUL S/A
3902	POWERLOGIC CONSULTORIA E SISTEMAS S/A
3940	IRMAOS SOUZA COMERCIO SERVICOS E REPRESENTACAO LTDA - ME
3991	GOVERNO DO ESTADO DO AMAPA
3998	CPD CONSULTORIA, PLANEJAMENTO E DESENVOLVIMENTO DE SISTEMAS LTDA
4034	ASSOCIACAO BRASILEIRA DE ORCAMENTO PUBLICO
4068	NUCLEMINAS MEDICINA NUCLEAR LTDA
4069	ENGETRONIC COMERCIAL LTDA - EPP
4071	EXAME LABORATORIOS DE PATOLOGIA CLINICA LTDA
4083	COMISSAO NACIONAL DE ENERGIA NUCLEAR
4084	COMISSAO NACIONAL DE ENERGIA NUCLEAR
4086	COMISSAO NACIONAL DE ENERGIA NUCLEAR
4099	SERMA EMPREENDIMENTOS E SERVICOS LTDA - EPP
4105	BSBSYSTEM ENGENHARIA LTDA
4207	FRIGELAR COMERCIAL LTDA ME
4265	DENDENA & CIA LTDA - ME
4300	CESB - CENTRO DE EDUCACAO SUPERIOR DE BRASILIA LTDA
4353	NET SERVICE S/A
4363	LABORSUL COMERCIO DE MATERIAIS CIENTIFICOS LTDA - ME
4427	GRAFICA E EDITORA IDEAL LTDA
4447	AVIBRAS DIVISAO AEREA E NAVAL S/A
4454	MAP SERVICOS DE SEGURANCA EIRELI
4470	PORTENTO CONSTRUCOES LTDA - EPP
4489	CARIMBOS MATO GROSSO LTDA - ME
4509	SERGIO MACHADO REIS - EPP
4544	INDUSTRIA DE MATERIAL BELICO DO BRASIL IMBEL
4546	INDUSTRIA DE MATERIAL BELICO DO BRASIL IMBEL
4547	INDUSTRIA DE MATERIAL BELICO DO BRASIL IMBEL
4572	REAL MIX COMERCIO VAREJISTA LTDA - EPP
4631	CAVARZAN CONSTRUCOES E COMERCIO DE IMPORTACAO E EXPORTACAO LTDA - ME
4706	FUNDAMENTO CONSTRUTORA LTDA - EPP
4779	RADIOBRAS EMPRESA BRASILEIRA DE COMUNICACAO S/A
4788	FIMATEC COMERCIO E REPRESENTACOES LTDA
4810	VIP LIMPEZA E SERVICOS EIRELI - EPP
4818	MARSHAL VIGILANCIA E SEGURANCA LTDA
4837	NEWAIR REFRIGERACAO LTDA
4894	STRATEGIO SISTEMAS SERVICOS E INFORMATICA LTDA. - EPP
4913	PAULO OCTAVIO INVESTIMENTOS IMOBILIARIOS LTDA
4982	INTERNACIONAL COMERCIO DE FLORES E PLANTAS LTDA - ME
5002	FUNDACAO LINDOLFO COLLOR FUNDALC
5070	SER ESPACO TERAPEUTICO LTDA - ME
5111	WORLD SERVICE TERCEIRIZACAO LTDA
